"URL","LotNumber"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-fcee6f0c-6fc5-441d-9616-b36700bcc8de","3842"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-726cbb5a-1f20-4a99-8007-b36700242d39","3722"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-6281369b-c0b6-48fe-bde8-b3670024268e","3710"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-f00f4be8-a436-47f5-9565-b366014219f4","3540"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-e315a2aa-f4df-4a78-9d3c-b3660141c0f6","3037"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-d9434a04-911f-4b74-b23b-b3660141b34c","3012"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-fe0746d6-53ba-4ec7-bfea-b36601419665","2351"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-656387fe-109b-4380-97eb-b366014153f8","2086"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-7c8435b0-2290-42f0-9280-b36601414613","2056"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-29775a3a-c779-4aa9-8da5-b3660141537a","2085"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-553d28b3-1a44-48f8-9311-b36601415278","2082"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-00330a02-a98b-4851-8bca-b36601414d7d","2071"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-11a96216-d209-4566-b930-b36601414a92","2065"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-b525ae04-2516-4119-a7b4-b366014146a1","2057"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-d831c3a5-af28-4cc6-be4e-b366014142ff","2050"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-d1ca2cf2-cbfa-4877-ae13-b3660141428a","2049"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-f08a0b02-00f3-4826-8590-b36601414210","2048"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-da629014-90ee-419c-8901-b3660141418f","2047"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-2b98f589-e43a-49c7-90bb-b36601413d22","2038"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-a1e3c002-ee4e-46be-896f-b36601413b25","2034"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-78d935fe-3063-41c2-8998-b366014138cf","2029"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-5492c83e-1d2c-4423-86f9-b366014139c9","2031"
"https://www.bidspotter.com/en-us/auction-catalogues/bscbro/catalogue-id-brolyn10245/lot-28ca4639-c3a0-42fd-947b-b3660141394e","2030"
